,광고그룹,키워드,노출수,클릭수,"총비용(VAT포함,원)"
311,파이썬을 통한 금융 데이터 수집과 분석 자동화 16기,투자분석,2595,4.8,20779
312,실전 웹 UX/UI 디자인,반응형홈페이지,1268,22.8,20779
313, 1인 쇼핑몰 시작하기_06.해외쇼핑몰,구매대행쇼핑몰,2223,21.599999999999998,20746
314, 금융공학/퀀_03.금융공학,금융상품,21441,12.0,20713
315,고객의 마음을 읽는 구글애널리틱스,GAIQ,4652,42.0,20636
316,PYTHON & DJANGO를 활용한  웹 서비스 개발,장고,28291,25.2,20537
317,1. 전체,책디자인,1513,13.2,20482
318,1. 코딩,코딩배우기,3638,8.4,20449
319,인디자인 유치원,독립출판사,1926,40.8,20427
320, 콘텐츠 마케팅_대표키워드,MCN회사,18762,54.0,20152
321, 영상 제작/편집_7.에프터이펙트,유튜브스튜디오,3250,34.8,20119
322, 콘텐츠 마케팅_대표키워드,비디오커머스,5502,18.0,20053
323,파이썬 텍스트 마이닝,소프트웨어,188124,18.0,20053
324, 콘텐츠 마케팅_대표키워드,1인크리에이터,8453,18.0,19998
325,실전 웹 UX/UI 디자인,UXUI디자인,1594,25.2,19998
326,#000_마케팅 전체_main,페이스북마케팅,3975,12.0,19910
327,AOP 전체_중복키워드_마케팅,CRM,12531,4.8,19591
328,1. 코딩,코딩기초,1318,7.199999999999999,19481
329, 투자_파워콘텐츠,채권투자,3417,135.6,19393
330, 콘텐츠 마케팅_대표키워드,온라인홍보,10179,8.4,19371
331,data_camp_pcda_3,점프투파이썬,10307,25.2,19250
332,ㅍAOP 전체_중복키워드_디자인(삭제),UXUI,3627,12.0,19239
333,인디자인 유치원,책만들기,5492,27.599999999999998,19206
334,5_초기 스타트업 실제 투자사례(창업자),투자유치,9312,7.199999999999999,18975
335, 콘텐츠 마케팅_대표키워드,미디어커머스,7752,13.2,18744
336,1. 모바일앱개발_세부,어플만드는법,1009,8.4,18678
337,고객의 마음을 읽는 구글애널리틱스,GOOGLEANALYTICS,4021,22.8,18579
338,#000_마케팅 전체_main,SNS마케팅교육,1351,21.599999999999998,18370
339,Python & Django를 활용한 웹 서비스_일반,AJAX,42159,20.4,17974
340, 업무자동화_3. 엑셀,EXCEL,66397,14.399999999999999,17941
341,ㅍAOP 전체_중복키워드_비지니스(삭제),엑셀강의,4313,12.0,17754
342,001.데이터분석/ 통계,DATASCIENCE,1411,33.6,17655
343,#000_마케팅 전체_main,온라인마케팅,8336,20.4,17600
344,8. 시스템 프로그래밍,유닉스,230365,38.4,17534
345,블록체인 신사업 시작하기,BLOCKCHAIN,2807,13.2,17435
346,디지털 마케팅 스쿨 13기_대표키워드,마케팅취업,1599,14.399999999999999,17413
347,파이썬을 통한 금융 데이터 수집과 분석 자동화 16기,웹크롤링,4487,24.0,17281
348,타이포그래피와 편집디자인,서체,17775,46.8,17028
349,2. 프로그래밍,프로그래밍언어,38001,8.4,16896
350, 1인 쇼핑몰 시작하기_00.창업_PC,쇼핑몰구축,1823,3.5999999999999996,16764
351, 콘텐츠 마케팅_영상바이럴,유튜브영상제작,1761,7.199999999999999,16753
352,8. 시스템 프로그래밍,우분투,104470,30.0,16753
353,인스타그램 마케팅,인스타마케팅,1512,13.2,16709
354, 콘텐츠 마케팅_대표키워드,네이티브광고,2154,7.199999999999999,16676
355,ㅍAOP 전체_중복키워드_마케팅(삭제),구글광고,19506,10.799999999999999,16632
356,AOP 전체_중복키워드_마케팅,바이럴영상,4104,3.5999999999999996,16522
357,LaTeX를 활용한 효율적 논문작성 Workshop,LATEX,7024,25.2,16489
358, 콘텐츠 마케팅_영상바이럴,영상콘텐츠,2855,13.2,16434
359, 그로스해킹_1.용어,대시보드,38600,10.799999999999999,16412
360,005.머신러닝,캐글,3228,19.2,16170
361,ㅍAOP 전체_중복키워드_마케팅(삭제),CRM,3541,4.8,15994
362,AOP 전체_중복키워드_디자인,그래픽디자이너,9345,2.4,15873
363,#000_마케팅 전체_main,페이스북광고,6994,9.6,15873
364, 영상 제작/편집_5.일러스트,유튜브썸네일,9003,19.2,15862
365,data_camp_pcda_3,파이썬데이터분석,1119,26.4,15763
366,1. 전체,영상편집교육,3923,7.199999999999999,15554
367,ㅍAOP 전체_중복키워드_마케팅(삭제),마케팅,32960,14.399999999999999,15510
368, 디자인 툴_파워컨텐츠_포토샵,영상학원,1212,31.2,15411
369,타이포그래피와 편집디자인,손글씨폰트,14905,39.6,15356
